Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Mal, Indranil; Samajdar, Dip Prakash; Peter, A John; ",Theoretical studies on band structure and optical gain of GaInAsN/GaAs/GaAs cylindrical quantum dot,Superlattices and Microstructures,119,,103-113,2018,Elsevier
"Basu, Abhishek; Saha, Arindam; Das, Jeet; Roy, Sandipta; Mitra, Sushavan; Mal, Indranil; Sarkar, Subir Kumar; ",On the implementation of a digital watermarking based on phase congruency,Proceedings of the 3rd International Conference on Frontiers of Intelligent Computing: Theory and Applications (FICTA) 2014: Volume 2,,,113-120,2015,Springer International Publishing Cham
"Hazra, Asish; Mal, Indranil; Samajdar, DP; Das, TD; ",Analytical modelling of organic solar cells with scattering interface,Optik,168,,747-753,2018,Elsevier
"Mal, Indranil; Samajdar, DP; Das, TD; ",Calculation of band structure and optical gain of type-II GaSbBi/GaAs quantum wells using 14-band k· p Hamiltonian,Superlattices and Microstructures,109,,442-453,2017,Elsevier
"Mal, Indranil; Samajdar, DP; Das, TD; ",Effect of Sb and N resonant states on the band structure and carrier effective masses of GaAs1-x-yNxSby alloys and GaAs1-x-yNxSby/GaAs quantum wells calculated using k· p Hamiltonian,Superlattices and Microstructures,106,,20-32,2017,Elsevier
"Mal, I; Panda, DP; Tongbram, B; Samajdar, DP; Chakrabarti, S; ",Analytical modeling of temperature and power dependent photoluminescence (PL) spectra of InAs/GaAs quantum dots,Journal of Applied Physics,124,14,,2018,AIP Publishing
"Mal, Indranil; Jayarubi, Joseph; Das, Subhasis; Sharma, Akant Sagar; Peter, Amalorpavam John; Samajdar, Dip Prakash; ",Hydrostatic pressure dependent optoelectronic properties of InGaAsN/GaAs spherical quantum dots for laser diode applications,physica status solidi (b),256,3,1800395,2019,
"Mal, Indranil; Hazra, Asish; Samajdar, DP; Das, TD; ",Investigation of Electronic and Optical Properties of GaSbBi/GaAs Type-II Quantum Wells Using 14-Band k· p Hamiltonian,International Workshop on the Physics of Semiconductor and Devices,,,1013-1020,2017,Springer International Publishing Cham
"Mal, Indranil; Hazra, Asish; Samajdar, DP; Das, TD; ",Computation of Electronic and Optical Properties of GaAsNSb with 16 Band k dot p Model,International Workshop on the Physics of Semiconductor and Devices,,,241-248,2017,Springer International Publishing Cham
"Hidouri, T; Mal, I; Samajdar, DP; Saidi, F; Das, TD; ",Impact of localization phenomenon and temperature on the photoluminescence spectra of GaSbBi alloys and GaSbBi/GaAs quantum dots,Superlattices and Microstructures,129,,252-258,2019,Academic Press
"Mal, I; Samajdar, DP; Roy, Debamita; ",Hydrostatic Pressure Study of GaAsSbN/GaAs Quantum Well Based Optoelectronic Devices,2018 IEEE Electron Devices Kolkata Conference (EDKCON),,,547-551,2018,IEEE
"Roy, Debamita; Mal, I; Samajdar, DP; ",Performance Analysis of CdTe Based PV Array Using Parameter Extraction Techniques,2018 IEEE Electron Devices Kolkata Conference (EDKCON),,,568-571,2018,IEEE
"Mal, I; Samajdar, DP; ",Influence of Hydrostatic Pressure on the Performance of GaAsSbN/GaAs Quantum Well Based Optoelectronic Devices,Sensor Letters,17,6,481-486,2019,American Scientific Publishers
"Roy, D; Mal, I; Samajdar, DP; ",Use of Parameter Extraction Techniques for the Evaluation of the Performance of CdTe Based Solar Array,"Advanced Science, Engineering and Medicine",11,11,1036-1040,2019,American Scientific Publishers
"Hidouri, Tarek; Biswas, Mahitosh; Mal, Indranil; Nasr, Samia; Chakrabarti, Subhananda; Samajdar, Dip Prakash; Saidi, Faouzi; ",Engineering of carrier localization in BGaAs SQW for novel intermediate band solar cells: Thermal annealing effect,Solar Energy,199,,183-191,2020,Pergamon
"Mal, Indranil; Panda, Debi Prasad; Tongbram, Binita; Chakrabarti, Subhananda; Samajdar, Dip Prakash; ",An analytical approach to study annealing induced interdiffusion of In and Ga for truncated pyramidal InAs/GaAs quantum dots,IEEE Transactions on Nanotechnology,19,,223-229,2020,IEEE
